Time,Time Code,Country Name,Country Code,GDP,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),Consumer price index (2010 = 100)
2015,YR2015,Afghanistan,AFG,19134221744.5294,-0.66170916471352,2.44756300204629,..,12.2525481623247,..,..,61.1434615416667,0.884000458750617,1.45131466009762,566.881132665072,132.883209191418
2015,YR2015,Albania,ALB,11386853113.0189,1.89617402592365,0.563991350160876,17.193,7.27249242163997,27.2673911512668,44.5336151883802,125.961666666667,8.69053394301893,2.21872637517804,3952.80357364813,111.397164149808
2015,YR2015,Algeria,DZA,165979224866.131,4.78444700693889,-6.45565041377628,11.206,15.4532587780215,23.1717780134205,36.5233505852979,100.691433333333,-0.324012189691575,3.70000000138755,4197.41998491398,126.736646357875
2015,YR2015,American Samoa,ASM,673000000,..,1.4697327650683,..,..,63.5958395245171,98.8112927191679,..,..,3.14960629921259,13101.5418159165,..
2015,YR2015,Andorra,AND,2789882569.1005,..,0.660588959137868,..,..,..,..,..,..,1.43414039522716,38885.5485894753,..
2015,YR2015,Angola,AGO,90496420626.179,9.35383972513749,-3.51838534598478,..,21.1441815303596,29.7545979506807,33.1339181383385,120.060701665019,11.0813390112563,0.943571561325001,3217.33924430561,159.70259626246
2015,YR2015,Antigua and Barbuda,ATG,1437755555.55556,0.968993458825638,2.78817037438111,..,6.85576261673454,70.6912007913569,59.3558890657764,2.7,7.93074035994626,1.44515529873077,15985.5411386971,110.319735692442
2015,YR2015,Argentina,ARG,594749285413.212,..,26.5799916024707,..,-1.31470878459509,10.7056520504538,11.7805740385254,9.23318552472429,1.97713461784426,2.73115982828944,13789.060424772,..
2015,YR2015,Armenia,ARM,10553337518.414,3.73169119261693,1.21390990471085,18.261,16.1800096730379,29.7253912120334,41.9566831307241,477.918306576099,1.74473701796819,3.19999999896625,3666.14182210905,124.766161254862
2015,YR2015,Aruba,ABW,2962907262.56983,0.474763597342641,6.83128664643071,..,0.15792504131085,72.8529128494511,72.9807504481858,1.79,-0.907264204095974,-0.623625632862655,28419.2645344661,103.401364578457
2015,YR2015,Australia,AUS,1351768945139.11,1.50836672165921,-0.622921248890535,6.055,6.2367714233312,20.0581264737037,21.5361539403705,1.33109026245502,3.46899584699556,2.20181015336807,56758.8692027821,112.044745057232
2015,YR2015,Austria,AUT,381971148530.543,0.89656333526032,2.30097866680524,5.802,..,53.0890605587958,49.3382548303838,..,-2.08805653898309,1.01450158590511,44195.8175947748,110.688581802368
2015,YR2015,Azerbaijan,AZE,53076235354.746,4.02768573742726,-8.84969256895297,4.96,28.9454418522707,37.7947774917249,34.806730415594,1.02456381855059,7.62606837682972,1.09397591627469,5500.50364628486,117.733333333333
2015,YR2015,"Bahamas, The",BHS,11672900000,1.86148302863371,5.31178759907908,12,-0.533451773905697,36.3585741332488,37.1261640209374,1,0.651731144360013,0.996230704298327,29724.9533355233,109.602977818188
2015,YR2015,Bahrain,BHR,31050638297.8723,1.84862742374977,-9.2551569152308,..,15.8862914503003,83.1072099110581,71.8241650563938,0.376,0.208992859981636,2.48537855758804,22795.4488576612,110.529042157059
2015,YR2015,Bangladesh,BGD,195078573252.202,6.19428022984991,5.87277704102323,..,5.51264431590569,17.3366737865485,24.7493225204896,77.9469083333333,1.45128843109539,6.55263987816197,1236.00439239816,144.558850888013
2015,YR2015,Barbados,BRB,4734000000,-1.11278992510967,-1.82091065635517,9.803,10.0624726260287,39.972539079003,47.1979298690325,2,14.5442742566351,2.42587905631385,17023.6943646321,117.210285040264
2015,YR2015,Belarus,BLR,56454889146.6088,13.5344897649735,16.0232393330965,1,1.77558738411221,58.0102324546769,57.9034590145701,1.59259883333333,2.92676157012568,-3.82966307070085,5967.06856034227,387.093945157895
2015,YR2015,Belgium,BEL,462335574841.484,0.561429152790065,1.33038612835179,8.482,..,77.8052821516798,76.3872643576431,..,-4.22079695282357,2.04145900919961,41008.296719472,108.629692097897
2015,YR2015,Belize,BLZ,2194709309.24204,-0.861584009427748,0.0473144417774591,7.578,10.2681071874288,51.5288427541256,52.4655756967307,2,2.69371545694887,3.22549309143569,6098.60007958976,103.788947954679
2015,YR2015,Benin,BEN,11388160997.1089,0.218785923535971,0.85150426118021,..,4.26633438639015,24.7204512110389,32.0358619739087,591.21169798261,1.31501182120876,1.77815106030278,1041.65252315983,109.736884846516
2015,YR2015,Bermuda,BMU,6654541000,..,2.95202006984243,..,..,49.9708394613543,23.3246590561242,1,-2.15032691390736,0.775529699568978,102005.62564189,..
2015,YR2015,Bhutan,BTN,2003596838.78013,4.54814395082205,3.55706816493124,2.45,10.949291409393,34.4356493984662,63.4453054435239,64.1519444632786,0.321968657810016,6.64223210535519,2695.63692363803,148.660722526853
2015,YR2015,Bolivia,BOL,33000198248.9146,4.05961041135645,-4.62060225845632,3.111,13.3088029026578,30.8682960291245,37.0645491614003,6.91,1.68072787961335,4.85718717971413,2975.64881143063,133.651146397123
2015,YR2015,Bosnia and Herzegovina,BIH,16404348871.4437,..,1.36573070914964,27.695,4.36356276459313,35.1148756307611,53.1771142099997,1.76349164694686,2.33529302949791,4.31475061116335,4654.60862038896,..
2015,YR2015,Botswana,BWA,13530748844.505,3.06203169580558,3.73031737555105,..,4.06793571176667,53.0908973428197,59.809993673185,10.1289916666667,2.79773267452093,-4.85133564036167,5869.73757890628,132.882567987256
