Thời gian,FDI,FDI đăng kí (lũy kế năm),FDI giải ngân (lũy kế năm),Thương mại (lũy kế năm),Xuất khẩu  (lũy kế năm),Nhập khẩu  (lũy kế năm),Cung tiền & tín dụng,Tăng trưởng tín dụng,Nông nghiệp,Thương mại,Công nghiệp,Xây dựng,Cung tiền M2,Tài khóa,Tổng thu,Nội địa,Tổng chi,Chi đầu tư phát triển,Chi thường xuyên,Chỉ số giá,Lạm phát cơ bản,Lạm phát,Thực phẩm,Nhà ở và VLXD,Y tế,Vận tải,Chỉ số PMI,Tăng trưởng GDP thực tế
-,-,% YoY,% YoY,-,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY
T3 2019,-,86.2,6.2,-,5.2,7.8,-,13.5,3.6,23.7,5.7,11.7,11.2,-,23.5,24.6,9,32.4,6.6,-,1.8,2.7,6.1,2.8,-0.6,-1.7,51.9,6.8
T4 2019,-,81,11.8,-,6.5,10.7,-,13.2,3.6,23.8,4.6,10.6,10.2,-,14.4,14.6,3.2,-8.5,5.9,-,1.9,2.9,5.5,3.3,-0.6,1.4,52.5,6.7
T5 2019,-,69.1,8.1,-,10.5,7.1,-,13.5,4,23.4,4.3,13.6,10.8,-,14.4,14.6,3.2,-8.5,5.9,-,1.9,2.9,4.4,4.2,-0.7,2.3,52,6.7
T6 2019,-,-9.2,8.7,-,N/A,8.8,-,13.4,3.4,21.9,4.1,12.2,11.1,-,14.4,14.6,3.2,-8.5,5.9,-,2,2.2,2.8,3.3,-0.7,-0.5,52.5,6.7
T7 2019,-,-11.9,7.1,-,7.8,8.4,-,13.3,3.8,20.1,3.8,11.8,11.5,-,13.6,15.6,5.6,-5.6,6.3,-,2,2.4,2.3,2.9,7.4,0,52.6,7.5
T8 2019,-,-7.1,6.3,-,8.1,8,-,13,5.7,16.2,6.8,8.9,11.9,-,13.6,15.6,5.6,-5.6,6.3,-,2,2.3,1.5,2.8,11.4,-0.6,51.4,7.5
T9 2019,-,3.1,7.3,-,8.4,8.3,-,12.9,4.6,16.6,6.2,10.6,12.9,-,13.6,15.6,5.6,-5.6,6.3,-,2,2,1.8,2.7,11.3,-2.7,50.5,7.5
T10 2019,-,4.3,7.4,-,8.3,7.6,-,12.7,5.7,17.2,6.4,9.2,12.7,-,8.9,10.9,18.4,6.6,5.3,-,2,2.2,3.2,2.9,11.3,-3.2,50,7
T11 2019,-,3.1,6.8,-,8,6.8,-,12.6,6.3,17.6,5.8,9.1,13.4,-,8.9,10.9,18.4,6.6,5.3,-,2.2,3.5,7.7,3.7,11.3,-2.1,51,7
T12 2019,-,7.2,6.7,-,8.4,7,-,13.7,7.4,17.7,8.9,14.4,14.8,-,8.9,10.9,18.4,6.6,5.3,-,2.8,5.2,12.5,5.1,3.5,3.5,50.8,7
